epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,160.289,0.70474,0.70675,1.04725,0.87436,0.4,0.42329,0.30064,1.84489,2.38723,1.60122,2.35472e-05,2.35472e-05,2.35472e-05
76,162.449,0.60181,0.59585,1.10144,0.87436,0.4,0.42329,0.30064,1.84489,2.38723,1.60122,2.29819e-05,2.29819e-05,2.29819e-05
77,164.658,0.80205,0.92485,1.17024,0.87436,0.4,0.42329,0.30064,1.84489,2.38723,1.60122,2.23929e-05,2.23929e-05,2.23929e-05
78,166.776,0.42224,0.65908,1.04086,0.86167,0.4,0.42339,0.30014,1.82941,2.40535,1.58491,2.17805e-05,2.17805e-05,2.17805e-05
79,168.834,0.40248,0.59407,1.00282,0.86167,0.4,0.42339,0.30014,1.82941,2.40535,1.58491,2.11444e-05,2.11444e-05,2.11444e-05
80,170.893,0.55079,0.68257,1.03461,0.86167,0.4,0.42339,0.30014,1.82941,2.40535,1.58491,2.04848e-05,2.04848e-05,2.04848e-05
81,173.056,0.61397,0.63315,1.00864,0.85246,0.4,0.42331,0.30023,1.83064,2.39594,1.57682,1.98016e-05,1.98016e-05,1.98016e-05
82,175.098,0.56942,0.86018,0.97737,0.85246,0.4,0.42331,0.30023,1.83064,2.39594,1.57682,1.90949e-05,1.90949e-05,1.90949e-05
83,177.233,0.51406,0.71914,0.89582,0.85246,0.4,0.42331,0.30023,1.83064,2.39594,1.57682,1.83646e-05,1.83646e-05,1.83646e-05
84,179.322,0.55492,0.76251,1.00615,0.84345,0.4,0.42229,0.28764,1.8221,2.40725,1.56243,1.76107e-05,1.76107e-05,1.76107e-05
85,181.647,0.55514,0.62178,0.99386,0.84345,0.4,0.42229,0.28764,1.8221,2.40725,1.56243,1.68333e-05,1.68333e-05,1.68333e-05
86,183.784,0.63729,0.84752,0.99487,0.84345,0.4,0.42229,0.28764,1.8221,2.40725,1.56243,1.60323e-05,1.60323e-05,1.60323e-05
87,185.885,0.65483,0.61776,1.05451,0.84345,0.4,0.42229,0.28764,1.8221,2.40725,1.56243,1.52077e-05,1.52077e-05,1.52077e-05
